Timestamp,Temperatura_Hotend,RPM_Motor_DC,Grosor_Filamento,Estado_Motor_DC,Estado_Fan,Estado_Extrusor,Estado_Heater
0,-999.0,0.0,,0,0,0,0
1,-999.0,0.0,,0,0,0,0
2,-999.0,0.0,,0,0,0,0
3,-999.0,0.0,,0,0,0,0
4,-999.0,49.74,,1,0,0,0
5,-999.0,27.17,,1,0,0,0
6,-999.0,31.12,,1,0,0,0
7,-999.0,24.25,,1,0,0,0
8,-999.0,19.26,,1,0,0,0
9,-999.0,23.34,,1,0,0,0
10,-999.0,14.03,,1,0,0,0
11,-999.0,29.97,,1,0,0,0
12,-999.0,48.34,,1,0,0,0
13,-999.0,29.21,,1,0,0,0
14,-999.0,18.75,,1,0,0,0
15,-999.0,20.54,,1,0,0,0
16,-999.0,19.13,,1,0,0,0
17,-999.0,27.21,,1,0,0,0
18,-999.0,36.99,,1,0,0,0
19,-999.0,50.26,,1,0,0,0
20,-999.0,22.32,,1,0,0,0
21,-999.0,24.36,,1,0,0,0
22,-999.0,11.35,,1,0,0,0
23,-999.0,6.51,,1,0,0,0
24,-999.0,9.44,,1,0,0,0
25,-999.0,12.12,,1,0,0,0
26,-999.0,12.76,,1,0,0,0
27,-999.0,15.18,,1,0,0,0
28,-999.0,17.09,,1,0,0,0
29,-999.0,16.96,,1,0,0,0
30,-999.0,17.35,,1,0,0,0
31,-999.0,19.01,,1,0,0,0
32,-999.0,18.37,,1,0,0,0
33,-999.0,17.73,,1,0,0,0
34,-999.0,19.39,,1,0,0,0
35,-999.0,19.85,,1,0,0,0
36,-999.0,18.11,,1,0,0,0
37,-999.0,19.77,,1,0,0,0
38,-999.0,21.05,,1,0,0,0
39,-999.0,19.9,,1,0,0,0
40,-999.0,18.34,,1,0,0,0
41,-999.0,21.17,,1,0,0,0
42,-999.0,20.71,,1,0,0,0
43,-999.0,19.9,,1,0,0,0
44,-999.0,21.05,,1,0,0,0
45,-999.0,20.66,,1,0,0,0
46,-999.0,19.52,,1,0,0,0
47,-999.0,20.79,,1,0,0,0
48,-999.0,19.9,,1,0,0,0
49,-999.0,19.52,,1,0,0,0
50,-999.0,20.28,,1,0,0,0
51,-999.0,20.41,,1,0,0,0
52,-999.0,17.22,,1,0,0,0
53,-999.0,20.74,,1,0,0,0
54,-999.0,20.41,,1,0,0,0
55,-999.0,19.9,,1,0,0,0
56,-999.0,20.28,,1,0,0,0
57,-999.0,20.41,,1,0,0,0
58,-999.0,19.39,,1,0,0,0
59,-999.0,20.15,,1,0,0,0
60,-999.0,20.28,,1,0,0,0
61,-999.0,19.39,,1,0,0,0
62,-999.0,20.92,,1,0,0,0
63,-999.0,20.15,,1,0,0,0
64,-999.0,19.26,,1,0,0,0
65,-999.0,21.05,,1,0,0,0
66,-999.0,20.79,,1,0,0,0
67,-999.0,19.26,,1,0,0,0
68,-999.0,20.54,,1,0,0,0
69,-999.0,20.92,,1,0,0,0
70,-999.0,19.52,,1,0,0,0
71,-999.0,20.79,,1,0,0,0
72,-999.0,20.54,,1,0,0,0
73,-999.0,18.88,,1,0,0,0
74,-999.0,20.49,,1,0,0,0
75,-999.0,20.41,,1,0,0,0
76,-999.0,18.24,,1,0,0,0
77,-999.0,20.92,,1,0,0,0
78,-999.0,20.54,,1,0,0,0
79,-999.0,19.01,,1,0,0,0
80,-999.0,21.05,,1,0,0,0
81,-999.0,19.9,,1,0,0,0
82,-999.0,19.52,,1,0,0,0
83,-999.0,20.41,,1,0,0,0
84,-999.0,20.79,,1,0,0,0
85,-999.0,19.52,,1,0,0,0
86,-999.0,20.61,,1,0,0,0
87,-999.0,20.66,,1,0,0,0
88,-999.0,19.13,,1,0,0,0
89,-999.0,21.05,,1,0,0,0
90,-999.0,20.92,,1,0,0,0
91,-999.0,19.52,,1,0,0,0
92,-999.0,20.79,,1,0,0,0
93,-999.0,20.66,,1,0,0,0
94,-999.0,19.26,,1,0,0,0
95,-999.0,20.54,,1,0,0,0
96,-999.0,20.8,,1,0,0,0
97,-999.0,19.26,,1,0,0,0
98,-999.0,20.33,,1,0,0,0
99,-999.0,20.66,,1,0,0,0
100,-999.0,19.13,,1,0,0,0
101,-999.0,20.15,,1,0,0,0
102,-999.0,20.41,,1,0,0,0
103,-999.0,18.88,,1,0,0,0
104,-999.0,20.66,,1,0,0,0
105,-999.0,20.54,,1,0,0,0
106,-999.0,19.52,,1,0,0,0
107,-999.0,20.28,,1,0,0,0
108,-999.0,18.75,,1,0,0,0
109,-999.0,19.26,,1,0,0,0
110,-999.0,21.05,,1,0,0,0
111,-999.0,20.92,,1,0,0,0
112,-999.0,19.77,,1,0,0,0
113,-999.0,20.15,,1,0,0,0
114,-999.0,21.17,,1,0,0,0
115,-999.0,19.39,,1,0,0,0
116,-999.0,20.54,,1,0,0,0
117,-999.0,20.92,,1,0,0,0
118,-999.0,19.01,,1,0,0,0
119,-999.0,20.54,,1,0,0,0
120,-999.0,20.28,,1,0,0,0
121,-999.0,19.26,,1,0,0,0
122,-999.0,20.15,,1,0,0,0
123,-999.0,20.79,,1,0,0,0
124,-999.0,18.75,,1,0,0,0
125,-999.0,20.54,,1,0,0,0
126,-999.0,20.54,,1,0,0,0
127,-999.0,18.49,,1,0,0,0
128,-999.0,20.66,,1,0,0,0
129,-999.0,20.54,,1,0,0,0
130,-999.0,19.9,,1,0,0,0
131,-999.0,19.77,,1,0,0,0
132,-999.0,18.62,,1,0,0,0
133,-999.0,19.01,,1,0,0,0
134,-999.0,20.41,,1,0,0,0
135,-999.0,20.79,,1,0,0,0
136,-999.0,18.56,,1,0,0,0
137,-999.0,20.28,,1,0,0,0
138,-999.0,20.92,,1,0,0,0
139,-999.0,20.03,,1,0,0,0
140,-999.0,20.54,,1,0,0,0
141,-999.0,20.28,,1,0,0,0
142,-999.0,19.39,,1,0,0,0
143,-999.0,20.28,,1,0,0,0
144,-999.0,20.66,,1,0,0,0
145,-999.0,19.64,,1,0,0,0
146,-999.0,20.54,,1,0,0,0
147,-999.0,20.57,,1,0,0,0
148,-999.0,18.69,,1,0,0,0
149,-999.0,17.86,,1,0,0,0
150,-999.0,21.43,,1,0,0,0
151,-999.0,10.84,,1,0,0,0
152,-999.0,4.21,,1,0,0,0
153,-999.0,11.86,,1,0,0,0
154,-999.0,26.03,,1,0,0,0
155,-999.0,23.6,,1,0,0,0
156,-999.0,19.9,,1,0,0,0
157,-999.0,22.32,,1,0,0,0
158,-999.0,25.01,,1,0,0,0
159,-999.0,22.19,,1,0,0,0
160,-999.0,23.09,,1,0,0,0
161,-999.0,22.19,,1,0,0,0
162,-999.0,22.19,,1,0,0,0
163,-999.0,22.45,,1,0,0,0
164,-999.0,19.52,,1,0,0,0
165,-999.0,21.81,,1,0,0,0
166,-999.0,21.56,,1,0,0,0
167,-999.0,19.39,,1,0,0,0
168,-999.0,21.17,,1,0,0,0
169,-999.0,21.05,,1,0,0,0
170,-999.0,18.88,,1,0,0,0
171,-999.0,21.05,,1,0,0,0
172,-999.0,20.79,,1,0,0,0
173,-999.0,18.88,,1,0,0,0
174,-999.0,19.9,,1,0,0,0
175,-999.0,20.58,,1,0,0,0
176,-999.0,18.62,,1,0,0,0
177,-999.0,20.92,,1,0,0,0
178,-999.0,21.05,,1,0,0,0
179,-999.0,18.88,,1,0,0,0
180,-999.0,20.79,,1,0,0,0
181,-999.0,20.92,,1,0,0,0
182,-999.0,19.52,,1,0,0,0
183,-999.0,20.54,,1,0,0,0
184,-999.0,20.41,,1,0,0,0
185,-999.0,16.2,,1,0,0,0
186,-999.0,20.79,,1,0,0,0
187,-999.0,20.66,,1,0,0,0
188,-999.0,18.88,,1,0,0,0
189,-999.0,21.17,,1,0,0,0
190,-999.0,11.35,,1,0,0,0
191,-999.0,0.0,,0,0,0,0
192,-999.0,0.0,,0,0,0,0
193,-999.0,0.0,,0,0,0,0
194,-999.0,0.0,,0,0,0,0
195,-999.0,0.0,,0,0,0,0
196,-999.0,0.0,,0,0,0,0
197,-999.0,0.0,,0,0,0,0
198,-999.0,0.0,,0,0,0,0
199,-999.0,0.0,,0,0,0,0
200,-999.0,0.0,,0,0,0,0
201,-999.0,0.0,,0,0,0,0
202,-999.0,0.0,,0,0,0,0
203,-999.0,0.0,,0,0,0,0
204,-999.0,0.0,,0,0,0,0
205,-999.0,0.0,,0,0,0,0
206,-999.0,0.0,,0,0,0,0
207,-999.0,0.0,,0,0,0,0
208,-999.0,0.0,,0,0,0,0
209,-999.0,0.0,,0,0,0,0
210,-999.0,0.0,,0,0,0,0
211,-999.0,0.0,,0,0,0,0
212,-999.0,0.0,,0,0,0,0
213,-999.0,0.0,,0,0,0,0
214,-999.0,0.0,,0,0,0,0
215,-999.0,0.0,,0,0,0,0
216,-999.0,0.0,,0,0,0,0
217,-999.0,0.0,,0,0,0,0
218,-999.0,0.0,,0,0,0,0
219,-999.0,0.0,,0,0,0,0
220,-999.0,0.0,,0,0,0,0
221,-999.0,0.0,,0,0,0,0
222,-999.0,0.0,,0,0,0,0
223,-999.0,0.0,,0,0,0,0
224,-999.0,0.0,,0,0,0,0
225,-999.0,0.0,,0,0,0,0
226,-999.0,0.0,,0,0,0,0
227,-999.0,0.0,,0,0,0,0
228,-999.0,0.0,,0,0,0,0
229,-999.0,0.0,,0,0,0,0
230,-999.0,0.0,,0,0,0,0
231,-999.0,0.0,,0,0,0,0
232,-999.0,0.0,,0,0,0,0
